"Tornado_ID","Location","Property_Damage"
1,"US State",3406
2,"US State",79841
3,"US State",4584
4,"US State",0
5,"Puerto Rico",0
6,"US State",634
7,"US State",41477
8,"US State",0
9,"US State",0
10,"US State",82
11,"US State",4552
12,"US State",3555
13,"US State",0
14,"US State",8138
15,"US State",30181
16,"US State",0
17,"US State",2702
18,"US State",0
19,"US State",0
20,"US State",7388
21,"US State",4417
22,"US State",0
23,"US State",99089
24,"US State",2392
25,"US State",384090
26,"US State",0
27,"US State",16566
28,"Puerto Rico",8952
29,"US State",907
30,"US State",44062
31,"US State",2821
32,"US State",12850
33,"US State",1781
34,"US State",6558
35,"US State",19782
36,"US State",20511
37,"US State",91802
38,"US State",28145
39,"US State",12328
40,"US State",123151
41,"US State",69112
42,"US State",97917
43,"US State",4949
44,"US State",12083
45,"US State",4620
46,"US State",51853
47,"US State",28017
48,"US State",0
49,"US State",1108
50,"US State",2497
51,"US State",52659
52,"US State",1826
53,"US State",37744
54,"US State",0
55,"US State",0
56,"US State",18898
57,"US State",4215
58,"US State",77674
59,"US State",8623
60,"US State",941
61,"US State",0
62,"US State",27685
63,"US State",4010
64,"US State",589
65,"US State",24543
66,"US State",9508
67,"US State",250065
68,"US State",0
69,"Puerto Rico",67670
70,"US State",694
71,"US State",14953
72,"US State",64053
73,"US State",0
74,"US State",26839
75,"US State",0
76,"US State",2399
77,"US State",0
78,"US State",2022
79,"US State",5500
80,"US State",81812
81,"US State",958
82,"US State",6280
83,"US State",6388
84,"US State",4859
85,"US State",91654
86,"US State",2152
87,"US State",4668
88,"Puerto Rico",99764
89,"US State",52136
90,"US State",36858
91,"US State",58772
92,"US State",11976
93,"US State",5368
94,"US State",827
95,"US State",31364
96,"US State",0
97,"US State",5539
98,"US State",11717
99,"US State",1988
100,"US State",4682
101,"US State",1395
102,"US State",0
103,"US State",2537
104,"US State",2751
105,"US State",15406
106,"US State",4153
107,"US State",8352
108,"US State",0
109,"US State",43181
110,"US State",6336
111,"US State",92928
112,"US State",3708
113,"US State",0
114,"US State",3091
115,"US State",13761
116,"US State",0
117,"US State",4963
118,"US State",25074
119,"Puerto Rico",572
120,"US State",88746
121,"US State",27244
122,"US State",16939
123,"Puerto Rico",0
124,"US State",0
125,"US State",25439
126,"US State",147729
127,"US State",4498
128,"US State",5554
129,"US State",13311
130,"US State",5104
131,"US State",3736
132,"US State",6992
133,"US State",29345
134,"US State",1674
135,"Puerto Rico",0
136,"US State",0
137,"US State",0
138,"US State",0
139,"US State",17694
140,"US State",25107
141,"US State",141
142,"US State",13375
143,"US State",10486
144,"US State",67612
145,"US State",13190
146,"US State",20664
147,"US State",1711
148,"US State",6852
149,"US State",0
150,"US State",1365
151,"US State",9775
152,"US State",9797
153,"US State",2009
154,"US State",7474
155,"US State",7996
156,"US State",7517
157,"US State",59672
158,"US State",11402
159,"US State",1073
160,"US State",39484
161,"US State",0
162,"US State",0
163,"US State",0
164,"US State",7776
165,"US State",4970
166,"US State",11427
167,"US State",4988
168,"US State",20786
169,"Puerto Rico",1703
170,"US State",0
171,"US State",11765
172,"US State",8506
173,"US State",974
174,"US State",746406
175,"US State",11248
176,"US State",8567
177,"US State",0
178,"US State",205317
179,"US State",0
180,"US State",27379
181,"US State",3094
182,"US State",9273
183,"US State",26349
184,"US State",30569
185,"US State",6059
186,"US State",208
187,"US State",1618
188,"US State",28255
189,"US State",5036
190,"US State",111128
191,"US State",199
192,"US State",0
193,"US State",79544
194,"US State",0
195,"US State",9442
196,"US State",9868
197,"US State",27690
198,"US State",1865
199,"US State",20485
200,"US State",9898
201,"US State",0
202,"US State",4358
203,"US State",9100
204,"US State",0
205,"US State",22202
206,"US State",15612
207,"US State",0
208,"US State",1464
209,"US State",11337
210,"US State",21442
211,"US State",0
212,"US State",388
213,"US State",8203
214,"US State",1119
215,"US State",33829
216,"US State",2824
217,"US State",0
218,"Puerto Rico",33292
219,"US State",11426
220,"US State",607
221,"US State",190531
222,"US State",0
223,"US State",8156
224,"US State",111339
